rep,param,true,est
28,lam,0.270874772567127,0.26696352752760055
28,sigma,0.3141306995965244,0.3124752229648621
28,eps,0.03894905967880361,0.0362849500623579
29,beta0,0.13211444431957875,0.13993503006466168
29,beta_S,0.3317875892859138,0.39256694556608823
29,beta_T,0.1289302578674289,0.14612608895264703
29,beta_U,0.27350494402067843,0.2130666333513368
29,alpha0,1.5169694455819096,1.4458877500257878
29,alpha_A,0.7092023387969442,0.7462513729477337
29,lam,0.1764834202309993,0.17869799623451224
29,sigma,0.4489139490001536,0.45716322935148923
29,eps,0.06812512148756678,0.056986770091548414
